CVE,CVSS,Severity,EPSS,KEV,VMC
CVE-2025-22233,"3,1",Low,"""0.000200000""",N,Defer
CVE-2024-12801,"4,4",Medium,"""0.000490000""",N,Defer
CVE-2026-1225,5,Medium,"""0.000110000""",N,Defer
CVE-2025-48924,"5,3",Medium,"""0.000220000""",N,Defer
CVE-2025-41242,"5,9",Medium,"""0.000700000""",N,Defer
CVE-2024-12798,"6,6",Medium,"""0.000820000""",N,Defer
CVE-2025-11226,"6,9",Medium,"""0.000580000""",N,Defer
CVE-2025-22235,"7,3",High,"""0.001290000""",N,Defer
CVE-2026-24400,"7,3",High,"""0.000080000""",N,Defer
CVE-2025-41249,"7,5",High,"""0.000720000""",N,Defer
CVE-2024-57699,"7,5",High,"""0.000290000""",N,Defer
